species;genus;family;body.size.avg;bs.metric;fecundity.avg;egg.diam.avg;notes;burrow.lough;traditional.burrow.classification;combined.burrow.classification
Astacoides crosnieri;Astacoides;parastacidae;36.94;cl;33.81;NA;null;Non-burrower;Primary burrower;Semi-terrestrial burrower
Cambarus dubius;Cambarus;cambaridae;34.145;cl;35.2;2.165;null;Burrower;Primary burrower;Semi-terrestrial burrower
Cambarus monongalensis;Cambarus;cambaridae;36.6;cl;94;1.7;null;Burrower;Primary burrower;Semi-terrestrial burrower
Cambarus strigosus;Cambarus;cambaridae;32.95;cl;35;2.05;null;Burrower;Primary burrower;Semi-terrestrial burrower
Cambarus truncatus;Cambarus;cambaridae;29;cl;28;1.96;null;Burrower;Primary burrower;Semi-terrestrial burrower
Cherax destructor;Cherax;parastacidae;47.25;ocl;266.6;NA;null;Non-burrower;Primary burrower;Semi-terrestrial burrower
Cherax quinquecarinatus;Cherax;parastacidae;29;cl;77;2.6;null;Non-burrower;Primary burrower;Semi-terrestrial burrower
Cherax setosus;Cherax;parastacidae;17.43;ocl;300;NA;null;Non-burrower;Primary burrower;Semi-terrestrial burrower
Creaserinus fodiens;Creaserinus;cambaridae;35.77;cl;114.44;2.35;null;Burrower;Primary burrower;Semi-terrestrial burrower
Creaserinus gilpini;Creaserinus;cambaridae;24.12;cl;23.2;NA;null;Burrower;Primary burrower;Semi-terrestrial burrower
Creaserinus gordoni;Creaserinus;cambaridae;25.36;cl;17.66;2.35;null;Burrower;Primary burrower;Semi-terrestrial burrower
Engaeus australis;Engaeus;parastacidae;19.4;cl;13;1.8;null;Burrower;Primary burrower;Semi-terrestrial burrower
Engaeus cisternarius;Engaeus;parastacidae;29;cl;60.6;NA;null;Burrower;Primary burrower;Semi-terrestrial burrower
Engaeus fossor;Engaeus;parastacidae;24.51;cl;72.82;NA;null;Burrower;Primary burrower;Semi-terrestrial burrower
Engaeus hemicirratulus;Engaeus;parastacidae;26.7;ocl;41;1.4;null;Burrower;Primary burrower;Semi-terrestrial burrower
Engaeus orientalis;Engaeus;parastacidae;16.925;ocl;12.75;NA;null;Burrower;Primary burrower;Semi-terrestrial burrower
Engaeus quadrimanus;Engaeus;parastacidae;15.73;ocl;21.66;1.46;null;Burrower;Primary burrower;Semi-terrestrial burrower
Engaeus tuberculatus;Engaeus;parastacidae;29.1;ocl;44.16;1.35;null;Burrower;Primary burrower;Semi-terrestrial burrower
Engaeus urostrictus;Engaeus;parastacidae;18.9;ocl;27.25;1.35;null;Burrower;Primary burrower;Semi-terrestrial burrower
Euastacus australasiensis;Euastacus;parastacidae;30;ocl;125;NA;Only have body size min value;Non-burrower;Primary burrower;Semi-terrestrial burrower
Euastacus reductus;Euastacus;parastacidae;31.8;ocl;39.5;NA;null;Non-burrower;Primary burrower;Semi-terrestrial burrower
Lacunicambarus diogenes;Lacunicambarus;cambaridae;47.153;cl;196.675;2.67;null;Burrower;Primary burrower;Semi-terrestrial burrower
Ombrastacoides decemdentatus;Ombrastacoides;parastacidae;34;ocl;55;NA;null;Burrower;Primary burrower;Semi-terrestrial burrower
Parastacus pugnax;Parastacus;parastacidae;41.21;cl;27.25;NA;null;Burrower;Primary burrower;Semi-terrestrial burrower
Procambarus advena;Procambarus;cambaridae;30.85;cl;78.5;2;null;Burrower;Primary burrower;Semi-terrestrial burrower
Procambarus caritus;Procambarus;cambaridae;31.75;cl;37.5;1.95;null;Burrower;Primary burrower;Semi-terrestrial burrower
Procambarus hagenianus;Procambarus;cambaridae;31.2;ocl;25;NA;null;Burrower;Primary burrower;Semi-terrestrial burrower
Procambarus talpoides;Procambarus;cambaridae;30.99;cl;74.15;1.9;null;Burrower;Primary burrower;Semi-terrestrial burrower
Procambarus truculentus;Procambarus;cambaridae;26.6;cl;30;2.1;null;Burrower;Primary burrower;Semi-terrestrial burrower
Spinastacoides inermis;Spinastacoides;parastacidae;22.85;cl;28.27;NA;null;Non-burrower;Primary burrower;Semi-terrestrial burrower
Spinastacoides insignis;Spinastacoides;parastacidae;24.85;cl;38.84;NA;null;Non-burrower;Primary burrower;Semi-terrestrial burrower
Virilastacus rucapihuelensis;Virilastacus;parastacidae;25.5;cl;38.5;NA;null;Burrower;Primary burrower;Semi-terrestrial burrower
Astacoides betsileoensis;Astacoides;parastacidae;65.91;cl;206.07;NA;null;Non-burrower;Secondary burrower;Semi-terrestrial burrower
