species;genus;family;body.size.avg;bs.metric;fecundity.avg;egg.diam.avg;burrowing.status;alastair.classification;loughman.burrow.status.morphology;stern.phylogeny;notes;burrow.ala;burrow.lough;burrow;traditional.burrow.classification;combined.burrow.classification
Astacoides crosnieri;Astacoides;parastacidae;36.94;cl;33.81;;;3;0;1;;water;Non-burrower;0;primary_burrower;strongly_burrowing
Cambarus dubius;Cambarus;cambaridae;34.145;cl;35.2;2.165;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Cambarus monongalensis;Cambarus;cambaridae;36.6;cl;94;1.7;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Cambarus strigosus;Cambarus;cambaridae;32.95;cl;35;2.05;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Cambarus truncatus;Cambarus;cambaridae;29;cl;28;1.96;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Cherax destructor;Cherax;parastacidae;47.25;ocl;266.6;;;2;0;1;;half;Non-burrower;0;primary_burrower;strongly_burrowing
Cherax quinquecarinatus;Cherax;parastacidae;29;cl;77;2.6;;1;0;1;;bur;Non-burrower;0;primary_burrower;strongly_burrowing
Cherax setosus;Cherax;parastacidae;17.43;ocl;300;;primary.burrow;1;0;1;;bur;Non-burrower;0;primary_burrower;strongly_burrowing
Creaserinus fodiens;Creaserinus;cambaridae;35.77;cl;114.44;2.35;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Creaserinus gilpini;Creaserinus;cambaridae;24.12;cl;23.2;;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Creaserinus gordoni;Creaserinus;cambaridae;25.36;cl;17.66;2.35;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Engaeus australis;Engaeus;parastacidae;19.4;cl;13;1.8;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Engaeus cisternarius;Engaeus;parastacidae;29;cl;60.6;;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Engaeus fossor;Engaeus;parastacidae;24.51;cl;72.82;;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Engaeus hemicirratulus;Engaeus;parastacidae;26.7;ocl;41;1.4;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Engaeus orientalis;Engaeus;parastacidae;16.925;ocl;12.75;;primary.burrow;3;1;1;;water;Burrower;1;primary_burrower;strongly_burrowing
Engaeus quadrimanus;Engaeus;parastacidae;15.73;ocl;21.66;1.46;primary.burrow;3;1;1;;water;Burrower;1;primary_burrower;strongly_burrowing
Engaeus tuberculatus;Engaeus;parastacidae;29.1;ocl;44.16;1.35;primary.burrow;3;1;1;;water;Burrower;1;primary_burrower;strongly_burrowing
Engaeus urostrictus;Engaeus;parastacidae;18.9;ocl;27.25;1.35;primary.burrow;3;1;1;;water;Burrower;1;primary_burrower;strongly_burrowing
Euastacus australasiensis;Euastacus;parastacidae;30;ocl;125;;;3;0;1;Only have body size min value;water;Non-burrower;0;primary_burrower;strongly_burrowing
Euastacus reductus;Euastacus;parastacidae;31.8;ocl;39.5;;;3;0;1;;water;Non-burrower;0;primary_burrower;strongly_burrowing
Lacunicambarus diogenes;Lacunicambarus;cambaridae;47.153;cl;196.675;2.67;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Ombrastacoides decemdentatus;Ombrastacoides;parastacidae;34;ocl;55;;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Parastacus pugnax;Parastacus;parastacidae;41.21;cl;27.25;;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Procambarus advena;Procambarus;cambaridae;30.85;cl;78.5;2;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Procambarus caritus;Procambarus;cambaridae;31.75;cl;37.5;1.95;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Procambarus hagenianus;Procambarus;cambaridae;31.2;ocl;25;;primary.burrow;1;1;1;?;bur;Burrower;1;primary_burrower;strongly_burrowing
Procambarus talpoides;Procambarus;cambaridae;30.99;cl;74.15;1.9;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Procambarus truculentus;Procambarus;cambaridae;26.6;cl;30;2.1;primary.burrow;1;1;1;;bur;Burrower;1;primary_burrower;strongly_burrowing
Spinastacoides inermis;Spinastacoides;parastacidae;22.85;cl;28.27;;;3;0;1;;water;Non-burrower;0;primary_burrower;strongly_burrowing
